2,63
4,40
5,29
6,130
8,126
9,6
10,168
11,137
12,182
15,66
18,20
19,111
20,188
22,11
24,106
25,138
26,121
27,174
29,22
32,193
33,153
35,56
36,71
37,26
38,114
40,120
42,101
43,25
45,1
47,143
48,86
49,21
50,19
51,48
52,59
54,23
55,150
56,179
57,18
62,77
67,128
71,46
72,60
74,167
81,74
87,107
89,196
90,140
92,169
93,12
94,102
95,83
99,39
100,65
103,113
107,0
115,176
117,165
119,175
121,151
122,64
124,51
125,109
127,148
128,145
132,144
133,8
134,87
135,181
142,152
143,95
144,116
146,132
150,52
151,91
152,110
154,122
156,15
163,73
165,28
170,17
171,135
172,161
173,119
174,108
176,191
177,164
179,100
181,160
182,198
184,118
185,16
186,34
188,105
189,129
190,7
192,61
194,85
195,195
196,103
